altitud,pendiente,orientacion,is_fire,date,geometry,t_max,u,v,specific_humidity,relative_humidity
89.27925,1.1357656,13.522827,False,2011-11-02 08:52:42,POINT (5.940869961259658 38.81284135944825),292.27587890625,-2.941537857055664,2.4479124546051025,0.010209478437900543,73.464111328125
109.873,41.224716,120.427475,False,2003-06-26 09:17:33,POINT (5.886657916893327 38.86897007342216),300.647705078125,-0.7252548336982727,1.2870732545852661,0.00804629921913147,35.82147216796875
37.0315,6.5242596,10.64904,False,2019-09-12 12:23:31,POINT (5.89519042612786 38.84637105279761),296.5966796875,-10.170258522033691,-1.3341846466064453,0.013762768357992172,77.10667419433594
0.742,0.7281413,161.0674,False,2005-05-03 08:02:18,POINT (5.938813969974951 38.86221771739353),292.417236328125,-1.462812066078186,3.1760168075561523,0.008185897022485733,58.964630126953125
1.766,0.876543,296.41888,False,2000-01-05 04:56:02,POINT (5.911778261039077 38.87879645493946),283.6884765625,2.4707000255584717,-0.19376777112483978,0.00525984913110733,68.86968994140625
12.4195,2.8453875,50.186363,False,1997-08-16 15:26:05,POINT (5.906894238779612 38.85653068064077),297.760986328125,-4.709829330444336,0.25506827235221863,0.012129627168178558,62.4923210144043
11.9155,1.4062746,228.53113,False,1994-07-30 02:04:47,POINT (5.913808344062517 38.85514202515674),299.1103515625,-7.029064655303955,1.6413650512695312,0.013414673507213593,64.21101379394531
1.1735001,1.3314875,56.720222,False,2016-12-08 04:11:46,POINT (5.948297831917396 38.86724875727131),288.61083984375,-11.451544761657715,0.7260929942131042,0.008531581610441208,78.32954406738281
204.13326,43.985703,183.33331,True,2006-03-05 00:00:00,POINT (5.84779759368577 38.85249214438065),288.585693359375,9.782059669494629,-0.21247045695781708,0.004473082721233368,68.18905639648438
402.27475,65.298325,33.985058,True,2015-05-14 00:00:00,POINT (5.849081448009189 38.82259528207149),300.22265625,4.394090175628662,6.351990222930908,0.005195993930101395,27.498321533203125
9.436501,0.94396794,1.2139359,False,2014-12-27 20:55:58,POINT (5.928744730530196 38.84850683733642),288.044677734375,10.974590301513672,-1.8410991430282593,0.004596259444952011,54.28055191040039
177.96025,12.284105,312.08392,False,2004-06-16 06:25:10,POINT (5.929563078383124 38.83195465669215),292.51171875,1.1718007326126099,-4.2797627449035645,0.0089530348777771,65.54690551757812
177.78474,47.12693,53.517456,True,1993-10-02 00:00:00,POINT (5.87947783091727 38.86239062815668),295.109619140625,12.637343406677246,2.813185930252075,0.007292750757187605,47.15000915527344
21.03825,3.5587196,131.5684,False,2018-06-11 22:03:25,POINT (5.896656380274353 38.85268610360762),293.82275390625,6.088707447052002,0.6822883486747742,0.0121624656021595,83.54759216308594
94.8685,0.742924,118.76543,False,2005-08-25 19:16:54,POINT (5.938376935926687 38.80821941314572),296.244384765625,-0.8600913882255554,1.949143409729004,0.01209452748298645,69.47026062011719
85.37575,14.9108095,25.147247,False,2009-07-29 22:01:39,POINT (5.912273758117075 38.82882872395148),296.994873046875,-0.4839487373828888,-1.9286819696426392,0.01393195241689682,75.26643371582031
